Employee_ID,Age,Gender,Department,Job_Level,Salary,Years_at_Company,Performance_Rating,Training_Hours,Job_Satisfaction,Overtime,Manager_Rating,Promoted_Last_2_Years,Attrition
E001,28,Male,Sales,Junior,38000,1.2,3,12,3,Yes,3,No,Yes
E002,34,Female,HR,Mid,55000,5.4,4,25,4,No,4,No,No
E003,29,Male,IT,Mid,65000,2.1,5,30,5,No,5,Yes,No
E004,27,Female,Sales,Junior,40000,1.8,3,10,2,Yes,2,No,Yes
E005,41,Male,Finance,Senior,72000,9.3,4,20,4,No,4,Yes,No
E006,35,Female,IT,Senior,80000,7.2,5,35,5,No,5,Yes,No
E007,26,Male,Sales,Junior,36000,0.9,2,8,2,Yes,2,No,Yes
E008,38,Female,Operations,Mid,52000,6.1,4,22,4,No,4,No,No
E009,31,Male,HR,Mid,50000,3.5,3,18,3,No,3,No,No
E010,45,Female,Finance,Manager,95000,12.0,5,15,5,No,5,Yes,No
E011,27,Male,IT,Junior,58000,1.5,4,28,4,No,4,No,No
E012,33,Female,Sales,Mid,48000,4.2,3,14,3,Yes,3,No,Yes
E013,29,Male,Operations,Junior,35000,1.1,2,10,2,Yes,2,No,Yes
E014,42,Female,IT,Manager,105000,11.5,5,40,5,No,5,Yes,No
E015,36,Male,HR,Senior,68000,8.0,4,24,4,No,4,Yes,No
E016,25,Female,Sales,Junior,37000,0.7,2,9,2,Yes,2,No,Yes
E017,39,Male,Finance,Senior,78000,8.5,4,18,4,No,4,No,No
E018,30,Female,IT,Mid,67000,3.0,5,32,5,No,5,Yes,No
E019,28,Male,Operations,Junior,34000,1.3,3,12,3,Yes,3,No,No
E020,44,Female,HR,Manager,88000,10.2,5,20,5,No,5,Yes,No
E021,32,Male,Sales,Mid,46000,3.8,3,15,3,Yes,3,No,Yes
E022,27,Female,IT,Junior,60000,1.6,4,29,4,No,4,No,No
E023,35,Male,Finance,Mid,62000,5.0,4,19,4,No,4,No,No
E024,29,Female,Sales,Junior,39000,1.4,2,11,2,Yes,2,No,Yes
E025,48,Male,IT,Manager,110000,14.0,5,38,5,No,5,Yes,No
E026,33,Female,Operations,Mid,51000,4.5,4,21,4,No,4,No,No
E027,26,Male,Sales,Junior,36500,0.8,2,8,2,Yes,2,No,Yes
E028,40,Female,Finance,Senior,76000,9.0,4,17,4,No,4,Yes,No
E029,31,Male,HR,Mid,53000,3.2,3,19,3,No,3,No,No
E030,37,Female,IT,Senior,82000,7.8,5,36,5,No,5,Yes,No
E031,28,Male,Sales,Junior,38500,1.0,3,13,3,Yes,3,No,Yes
E032,43,Female,Operations,Manager,90000,11.0,5,22,5,No,5,Yes,No
E033,30,Male,IT,Mid,66000,2.8,4,31,4,No,4,No,No
E034,26,Female,Sales,Junior,37500,0.6,2,9,2,Yes,2,No,Yes
E035,38,Male,Finance,Senior,74000,8.2,4,18,4,No,4,No,No
E036,34,Female,HR,Mid,56000,5.6,4,26,4,No,4,No,No
E037,29,Male,Operations,Junior,35500,1.2,3,11,3,Yes,3,No,No
